id,breath_id,R,C,time_step,u_in,u_out,pressure
1,1,20,50,0,0.083334006,0,5.837491705
2,1,20,50,0.033652306,18.38304147,0,5.907793851
3,1,20,50,0.06751442,22.50927777,0,7.876253923
4,1,20,50,0.101542234,22.80882226,0,11.74287192
5,1,20,50,0.135755539,25.3558503,0,12.23498694
6,1,20,50,0.169697762,27.25986586,0,12.86770625
7,1,20,50,0.203707933,27.12748564,0,14.69556203
8,1,20,50,0.237722635,26.80773177,0,15.8906985
9,1,20,50,0.271776438,27.8647154,0,15.53918778
10,1,20,50,0.305731773,28.31303579,0,15.75009421
11,1,20,50,0.33967495,26.86675822,0,17.29674141
12,1,20,50,0.373680353,26.76280265,0,17.22643927
13,1,20,50,0.407650232,27.99327357,0,16.17190709
14,1,20,50,0.441804171,26.78989799,0,17.36704356
15,1,20,50,0.476102829,25.63406999,0,18.07006501
16,1,20,50,0.509995699,26.28019529,0,17.15613712
17,1,20,50,0.54404068,24.72671437,0,18.28097145
18,1,20,50,0.578178883,23.46788864,0,18.77308647
19,1,20,50,0.612109423,23.85843418,0,17.85915858
20,1,20,50,0.646054745,21.88340353,0,19.1245972
21,1,20,50,0.680175781,20.70104624,0,19.33550363
22,1,20,50,0.715326786,20.84361047,0,18.49187789
23,1,20,50,0.74934411,20.26919131,0,18.56218003
24,1,20,50,0.783241034,19.69368099,0,18.63248218
25,1,20,50,0.817397118,18.92728549,0,18.84338861
26,1,20,50,0.851410627,18.09382599,0,19.05429505
27,1,20,50,0.885488033,17.19395459,0,19.26520149
28,1,20,50,0.919468403,16.41925332,0,19.33550363
29,1,20,50,0.953547478,15.7446842,0,19.33550363
30,1,20,50,0.987487078,14.93159607,0,19.47610792
31,1,20,50,1.021297932,0,1,19.54641007
32,1,20,50,1.055425882,0,1,17.01553283
33,1,20,50,1.089403868,0,1,9.563505414
34,1,20,50,1.123386621,0,1,7.876253923
35,1,20,50,1.157590628,0,1,8.649577523
36,1,20,50,1.191509962,0,1,7.595045341
37,1,20,50,1.225570679,0,1,7.665347487
38,1,20,50,1.259531021,0,1,8.298066796
39,1,20,50,1.293622017,0,1,7.243534614
40,1,20,50,1.327630758,0,1,7.946556069
41,1,20,50,1.361646414,0,1,7.595045341
42,1,20,50,1.395614624,0,1,7.45444105
43,1,20,50,1.429677963,0,1,8.157462505
44,1,20,50,1.46390295,0,1,6.821721741
45,1,20,50,1.497959137,0,1,7.173232469
46,1,20,50,1.531981468,0.779224571,1,7.524743196
47,1,20,50,1.565979242,1.43904064,1,6.962326032
48,1,20,50,1.599877834,1.994220211,1,7.45444105
49,1,20,50,1.634123325,2.467240103,1,7.595045341
50,1,20,50,1.668140888,2.86338722,1,7.173232469
51,1,20,50,1.702180624,3.197773071,1,7.735649632
52,1,20,50,1.736036777,3.478430579,1,7.243534614
53,1,20,50,1.770047665,3.716375291,1,7.595045341
54,1,20,50,1.804002762,3.916807831,1,7.384138905
55,1,20,50,1.838046074,4.08634676,1,7.243534614
56,1,20,50,1.871920347,4.228698193,1,7.735649632
57,1,20,50,1.905960798,4.3494114,1,7.524743196
58,1,20,50,1.939991236,4.451204815,1,6.962326032
59,1,20,50,1.974001646,4.53702491,1,7.102930323
60,1,20,50,2.008066654,4.609531144,1,7.31383676
61,1,20,50,2.042230606,4.670845103,1,6.118700287
62,1,20,50,2.076541901,4.722735485,1,7.032628178
63,1,20,50,2.110547304,4.766088003,1,6.821721741
64,1,20,50,2.144749403,4.802855992,1,6.54051316
65,1,20,50,2.178752184,4.833678849,1,6.962326032
66,1,20,50,2.212962627,4.859828266,1,6.821721741
67,1,20,50,2.247045279,4.8817909,1,6.54051316
68,1,20,50,2.281272888,4.900384573,1,6.821721741
69,1,20,50,2.315313339,4.915974965,1,6.821721741
70,1,20,50,2.349457264,4.92916203,1,6.399908869
71,1,20,50,2.383457899,4.940236686,1,6.751419596
72,1,20,50,2.417553425,4.949603871,1,6.54051316
73,1,20,50,2.451473475,4.95746556,1,6.399908869
74,1,20,50,2.485586882,4.964135531,1,6.751419596
